filepath,xmin,xmax,ymin,ymax
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\21cc678a-b9c5-4bbb-ace0-9e096e799632___unnamed-300x225.jpg.xml,82,146,181,224
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\22dc6b5f-ff5d-4bb4-beb2-0f5fd9e75787___i10_Latest_Acrylic_Number_Plate.jpg.xml,144,342,166,212
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\2302b12c-3d74-4d6c-b376-ba8ab308a8c3___big_215451_1320738450.jpg.xml,129,206,131,156
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\23d775eb-842f-4f57-ad7a-affafa21660a___215453-new-2016-maruti-ertiga-granite-grey-zdi-shvs-highway-champion-img_8168.jpg.xml,98,297,267,365
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\2424211e-e6ba-4478-8ed1-6a04e25499c7___main-qimg-7673aeac86d0ef987deb837552c5dd4c-1.xml,141,305,282,325
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\2430703d-0fb3-4eb2-9765-4f9301f232cd___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Terrano-Duster-Rear-Comparison - Copy.xml,450,692,272,327
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\2430703d-0fb3-4eb2-9765-4f9301f232cd___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Terrano-Duster-Rear-Comparison.xml,595,808,264,317
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\254b647f-4cb3-46c3-a206-4e70041f4c78___speedex-number-plates-nandanam-chennai-car-number-plate-dealers-33nu2i6.jpg.xml,119,219,84,109
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\266d82c7-1b64-44cd-b77c-c08d98175390___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_5c752daa8d168dec865fe0462bf2c0bb_large.xml,165,287,360,387
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\26cfb3dd-3731-4fd0-a6c2-c44e3ce7498a___used_cars_in_keralaused_bikes_in_keralaautomotive_news7.jpg.xml,166,325,277,328
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\26d2b905-4055-41fe-a933-47db0e8a0a7f___37cba8c3f681f0cb5694f16a4c54aa7b.jpg.xml,44,109,207,259
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\27a88c24-0bf2-48b0-98a8-fa396e951045___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_7T4G0491-e1376988169395-1024x577.xml,591,695,292,340
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\27bfd7b7-6e0c-454c-b9f3-7a44d36edb9c___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-rear-right-side-angle-view.xml,91,229,327,401
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\28574c06-ac11-422e-864f-a51b726bb9ba___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_hqdefault0.xml,122,210,205,229
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\28fc10e3-681b-4086-9c15-28934ae86f7e___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-amt_827x510_71478504527.xml,116,182,282,320
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\2adfb5e7-e70a-4749-b5fa-8c233c0d47d9___new_1572920d1478091901-your-favourite-number-plate-font-jetta-german-font.jpg.xml,155,372,92,147
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\2c9306ab-3454-4ca0-89fd-db3f51dabcef___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-front-three-quarters-on-plain-ground.xml,141,349,512,611
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\2e23964b-ce59-4bcf-8c35-98f3a096a748___design-ind-number-plates-vijayanagar-bangalore-number-plate-dealers-2etqybj.jpg.xml,1,702,46,401
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\2fbe224b-e775-4c74-b975-fd66d2397ef6___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano.xml,710,774,345,374
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\304b14b8-dc3c-41cb-94b6-635864e2e964___number-plate-protector-car-safeplate-250x250.jpg.xml,10,244,87,176
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\31847e78-6696-4dc2-be08-cb37d512c576___2010_Maruti_WagonR_Review.jpg.xml,29,161,265,325
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\319f51dc-9db2-4977-a43d-09561cdd54ab___1415806d1442489743t-raging-red-rover-r3-my-mahindra-scorpio-s10-4x4-nudge-guard.jpg.xml,271,502,1,59
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\346a6946-ae0a-4b3f-b094-d971124b2064___banner_3.xml,326,574,186,231
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\347c849b-6cfa-4edb-af1f-b29bdad25c4d___new_New-Volkswagen-Polo.jpg.xml,20,136,128,158
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\3515f71d-cdd6-4050-ae68-7b7afd4c0a11___8.xml,79,332,155,243
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\351a22eb-bf0a-44d6-8b6d-5ffca753c261___bike-number-plate-500x500.jpg.xml,111,258,113,188
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\369ccb4b-88fe-4e97-91c1-3838da2b7563___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Honda-Jazz-Number-Plates-Designs.xml,181,430,126,249
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\377b225b-e978-4e7c-8e5e-f10d8effc336___Maruti-Suzuki-Ignis-Rear-view-94486.jpg.xml,154,315,230,277
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\38cee3dd-dead-4ba0-b350-0f82d94836da___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_big_467860_1505633598.xml,310,409,340,365
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\3bc3f147-2d6b-484a-8481-4a49fd8afe23___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_844581764_1_1080x720_nissan-terrano-xv-d-thp-110-ps-2013-diesel-faridabad.xml,192,393,513,554
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\3c0a3772-d18d-4ff7-861c-7e50b7974edb___1393874-take-look-number-plate-imageuploadedbyteambhp1437414250.447892.jpg.xml,155,338,195,249
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\3d7cd880-ea4b-4d63-9706-bea1df54af20___135712d1400874352-skoda-rapid-1-6tdi-cr-mt-elegance-ultima-candy-white-white-monster-1911216_676392609084007_1524722860_o.jpg.xml,297,490,259,306
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\3f677265-d5fa-439f-be23-feaacce22c49___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_848126147_2_1080x720_nissan-terrano-xl-d-plus-2014-diesel-upload-photos.xml,135,263,235,269
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\3fd93f90-f778-4f14-8b0f-67dd0be88a06___561644d1308248087-beware-fake-registration-numbers-imported-cars-proof-pg-3-257491_10150223034216705_685851704_7325894_6 - Copy.xml,141,269,249,283
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\3febea0e-53c0-4b30-880c-3061458b93ce___Maruti-Vitara-Brezza-rear-end-full-review.jpg.xml,346,569,182,307
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\40204d5c-c847-4437-90db-3e2d05a27761___33.jpg.xml,95,325,87,295
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\41209caa-2aa2-4003-b057-e0508c1d5ac9___Volkswagen-Ameo-Exterior-68165.jpg.xml,201,273,202,227
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\41de2ad0-3785-488e-9f1f-75b76f446cc7___Maruti-Alto-K10-Photos-2.jpg.xml,130,304,305,354
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\422aaf6f-dd4a-450f-ac6b-65966ab512d0___1431956d1446017445-number-plates-merchandise-canvas-ink-gurgaon-edit-closed-thumb_img_4418_1024.jpg.xml,297,558,422,493
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\4434b404-dd10-4150-b226-b76b6ef95e43___new_224489195_8_1000x700_skoda-superb-2010-.jpg.xml,140,306,157,208
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\44ee098a-c33c-47a2-9dcb-717c02d5a240___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_2013-Nissan-Terrano-Front.xml,267,500,511,574
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\49bdf0d9-4e64-41eb-9c19-eabdc4afb051___Maruti-Suzuki-Ciaz-Photos-30.JPG.xml,198,355,135,177
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\4b669e6d-4eec-4f46-b502-f64ee0175947___new_1.xml,138,436,54,163
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\4be1ff39-b2ad-45e0-9c9a-0e7215cbb5b6___2.jpg.xml,1,300,81,160
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\4eb236a3-6547-4103-b46f-3756d21128a9___06-Sanjay-Dutt.jpg.xml,85,256,387,449
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\4ed4509a-18ed-44cd-bfe3-b1cce982e365___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-3.xml,285,490,322,375
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\4f86fbad-3a04-4c11-a8fa-e897727fc2c7___Number-plate-1.jpg.xml,314,569,313,400
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\504e7c29-e1dc-48c9-ace6-738cf934e368___2017-skoda-octavia-rs-12.jpg.xml,292,424,184,235
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\51d58875-0bdc-4488-84d9-8b7ad5883863___new_Maruti-Suzuki-Ignis-Rear-view-94486.jpg.xml,102,210,152,186
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\5231116f-7a07-4ce2-b437-d34b497e7969___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_844329566_3_1080x720_nissan-terrano-xe-d-2014-diesel-.xml,187,351,342,384
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\52abe2c4-fde3-45b2-beec-f070e6ed98c7___Volkswagen-Vento-Rear-view-46765.jpg.xml,251,370,198,227
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\52b45060-9645-47c7-882d-b69a5bf07eff___1006372d1351343820-my-new-maruti-swift-zxi-21102012241.jpg.xml,219,345,315,353
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\5345a45f-8d1b-4984-b5ee-a69fc4cbda6a___new__bd7f7862-d727-11e7-ad30-e18a56154311.jpg.xml,362,434,174,196
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\55aa4ee8-13fd-45bd-b83b-651ac665d71a___200560387_4_1000x700_2012-toyota-innova-diesel-130000-kms-cars.jpg.xml,156,324,240,280
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\56b46df3-223c-42c8-a6bf-e95e5bac29cc___9214a754343030395508e104d7948167_large.jpg.xml,131,355,438,489
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\5747d3e8-4dd0-435f-942d-34b84f03344c___Maruti-Suzuki-Swift-Number-Plates-Design.jpg.xml,142,337,251,303
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\57e92915-935a-4a91-91f8-f3ad70040a6e___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_847071203_1_1080x720_nissan-terrano-xv-d-thp-premium-110-ps-2015-diesel-ghaziabad.xml,179,344,586,620
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\581e2224-3640-4bad-9d90-c2076a9f64f4___617609.jpg.xml,170,285,161,184
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\59a29a85-30f5-469e-a6c2-e1af171f151c___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_10187746494_417a40a489 - Copy.xml,103,166,181,198
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\59a40238-6b01-4bb9-9faf-3b595e67bcb3___3d-font-number-plate-500x500.jpg.xml,174,289,228,252
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\59e121dc-ebc6-4e4c-ba88-7fe04b569218___Autopsyches-Skoda-Laura-6.jpg.xml,289,447,217,257
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\5a4780bf-d2af-4f19-a36b-65004cd06b3d___maruti-suzuki-wagon-r-rear-left-rim.jpg.xml,102,168,138,159
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\5ac9f7b9-f7cc-4161-bbd1-7f377bb890bf___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-John-Abraham.xml,252,401,310,344
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\5b49ae32-c799-45e3-b139-9c56acf6370d___2014-Volkswagen-Polo-Review.jpg.xml,401,584,426,470
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\5c85a40f-ce81-44b4-82b2-dfdac281217d___new_Skoda-Octavia-1.8-TSI-5.jpg.xml,179,300,210,239
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\5cbd7465-ad12-4e6b-8eaf-d7056c3852f8___New-2018-Maruti-Suzuki-Swift-radiator-grille-600x398.jpg.xml,341,490,242,288
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\60842fa7-0a2e-4407-b41c-933d93bdbb35___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-red-rear.xml,146,237,215,244
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\6254bb73-d8a1-4f04-89a9-92caef98e233___1658240d1500548920-close-look-2017-skoda-octavia-facelift-hands-free-parking-front-bumper.jpg.xml,1206,2492,975,1287
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\62b58053-425c-4924-b129-c4a6580f3562___product-500x5001.xml,231,434,82,156
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\6578ae52-8431-4854-ba24-756888891756___1496414894_2017-maruti-suzuki-ciaz.jpg.xml,295,426,170,221
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\658af519-5290-4ae5-8dd6-694bab9aa458___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_848765390_1_1080x720_nissan-terrano-xl-d-plus-2014-diesel-coimbatore.xml,225,343,462,488
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\65e2825e-943f-48a3-a4e2-7e81d649ace2___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-L.xml,134,252,259,299
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\6767eddd-bf2f-4270-aa1f-6146738895ab___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-20300.xml,353,424,214,247
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\684f079f-6085-420c-8e4e-e1aed270fc05___Toyota-Fortuner-Number-Plates-Design.jpg.xml,541,769,390,458
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\69b56ab9-accd-4c67-aa7a-a884c018e5ab___speedex-number-plates-nandanam-chennai-car-number-plate-dealers-3zh7n2s.jpg.xml,341,602,948,1014
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\6bf2730d-82bf-43ac-8802-b61315d85b96___2017-Skoda-Octavia-rear-high-revealed-for-India-images.jpg.xml,108,261,235,276
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\6cd15e75-3e26-41f2-a6aa-b1b58dec1c48___volkswagen-polo-exquisite-limited-edition-m1_720x540.jpg.xml,18,89,246,312
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\6d69b523-72b7-4be9-a79f-428ef8148dcd___81auoS-H8eL._SX425_.jpg.xml,80,369,7,278
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\6e52e238-927b-46e0-a8f1-5f77ef1ecf9f___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-rear.xml,162,281,235,266
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\6e772b68-a549-44e5-950e-4c376454c4e9___1557295d1474517501-toyota-innova-crysta-official-review-20160921_173216.jpg.xml,198,440,233,293
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\6ec9d264-9eab-4027-bdcc-6f71c842ee75___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_846635891_1_1080x720_nissan-terrano-xl-d-thp-110-ps-2013-diesel-dehra-dun.xml,142,356,448,500
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\6ed8b283-5cf5-4727-9969-c79f70f47e80___2-cars-same-numbers.jpg.xml,72,161,145,175
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\6f680368-4a15-464a-b314-7f9cd0f3db11___91852d1232463201-high-security-registration-plates-hsrp-india-num1.jpg.xml,206,351,167,288
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\6f78077e-a3a1-4fb9-89ba-5870d75ccdb8___Innova_Crysta_Car_Euro_number_Plates.jpg.xml,166,281,101,134
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\7070d6ac-5425-4d33-a78e-a48c62d0fac5___Honda-Jazz-Number-Plate-Designs.jpg.xml,76,546,134,295
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\7073bd18-c0bf-47da-9e43-8c9d27831f11___new_Skoda-Laura-rear.jpg.xml,198,300,162,186
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\712ecd95-753f-4d67-ae42-e8b5254e6e94___28iam53.jpg.xml,36,186,195,278
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\72894c2b-5999-4d87-baa4-e3507548e011___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_847602356_1_1080x720_nissan-terrano-xl-d-2014-diesel-bilaspur.xml,696,802,366,442
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\730a2f83-cd53-4943-8922-af9d4fcad415___new_2.xml,144,369,82,230
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\7506a48d-2c70-4b12-b300-463754bc7837___165979d1427773878-new-volkswagen-vento-2016-launched-india-vw-vento-facelift-rear-india-spotted-test.jpg.xml,335,535,272,319
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\760ba77a-8992-4574-8cba-6c081d9e3e19___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_04f4c639c871fba0b4cc6475604e40b7_large.xml,95,193,262,285
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\7616cb19-df24-4d29-b679-5252391a547f___Skoda-Laura-rear.jpg.xml,316,479,260,296
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\77d1f81a-bee6-487c-aff2-0efa31a9925c____bd7f7862-d727-11e7-ad30-e18a56154311.jpg.xml,582,699,280,315
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\78a85f8b-de01-4036-ae91-2a1fa48bcf9f___new_995920d1349421647-cappuccino-beige-czech-tank-here-my-skoda-laura-2-0-elegance-mt-20121005_121433.jpg.xml,148,336,221,266
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\79094948-25d3-418e-86fc-3c2d62917f62___513039-volkswagen-vento-test-drive-review-06032011612.jpg.xml,1049,2247,934,1311
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\7c6227ed-9e92-4062-9591-b172cb32ec10___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Honda-Jazz-Front-Number-Plates-Designs.xml,54,599,79,189
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\7c8229d7-7e37-41a6-9262-d5da278c8d8e___139379d1243147524-ok-have-dealers-name-number-plate-1.jpg.xml,259,729,200,347
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\7f369852-27b9-4141-8c48-9e88b20743a6___new_Mahindra-Scorpio-Taillamps-Night.JPG.xml,148,380,214,270
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\7f768bfc-4c86-4fff-932d-c9871a82dce5___1431955d1446017445-number-plates-merchandise-canvas-ink-gurgaon-edit-closed-thumb_img_4422_1024.jpg.xml,254,472,516,570
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\7f7e27cc-930a-46cb-b3af-6e43da8b566d___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-Petrol-Review-Images-Black-Front-Grille-720x480.xml,419,590,322,414
D:/Devi/Singularis Software Technologies/numberplate_detection/annot\8187c22d-5fa4-4976-9c00-80b2ab66b97d___1290890d1411349145-take-look-number-plate-img_20140903_093600_hdr.jpg.xml,94,241,241,321
